SUPPORT,CONFIDENCE,LIFT,LHS,RHS,COUNT
0.04393,0.3469387755102041,2,697,"(951,)",17
0.04651,0.2727272727272727,2,951,"(1348,)",17
0.04393,0.36170212765957444,2,705,"(956,)",17
0.04393,0.5151515151515151,3,700,"(703,)",17
0.04393,0.3148148148148148,1,1030,"(956,)",17
0.04393,0.25757575757575757,2,951,"(697,)",17
0.04393,0.2537313432835821,2,956,"(710,)",17
0.04651,0.3673469387755102,4,1324,"(700,)",17
0.03876,0.39473684210526316,2,61,"(953,)",15
0.03876,0.8823529411764707,14,971,"(972,)",15
0.03876,0.2777777777777778,2,953,"(61,)",15
0.03876,0.3191489361702127,1,705,"(1120,)",15
0.03876,0.24193548387096775,1,1120,"(705,)",15
0.03876,0.25,1,703,"(1056,)",15
0.03876,0.5555555555555556,5,238,"(1026,)",15
0.03876,0.39473684210526316,5,1026,"(238,)",15
0.03876,0.2777777777777778,5,1266,"(834,)",15
0.03876,0.26785714285714285,2,712,"(697,)",15
0.04134,0.42105263157894735,5,633,"(641,)",15
0.03876,0.2112676056338028,1,1056,"(703,)",15
0.03876,0.30612244897959184,2,697,"(712,)",15
0.04134,0.5333333333333333,5,641,"(633,)",15
0.03876,0.2777777777777778,2,953,"(64,)",15
0.03876,0.7894736842105263,5,834,"(1266,)",15
0.04134,0.29629629629629634,5,1266,"(842,)",15
0.03876,0.22727272727272727,2,951,"(757,)",15
0.03876,0.36585365853658536,2,757,"(951,)",15
0.04134,0.7272727272727273,5,842,"(1266,)",15
0.03876,0.25,1,703,"(956,)",15
0.03876,0.2777777777777778,2,1266,"(757,)",15
0.03876,0.38461538461538464,2,366,"(703,)",15
0.03876,0.22388059701492538,1,956,"(703,)",15
0.04134,0.888888888888889,17,363,"(1320,)",15
0.04134,0.26666666666666666,1,703,"(953,)",15
0.04134,0.29629629629629634,1,953,"(703,)",15
0.04134,0.24242424242424243,1,951,"(1324,)",15
0.04134,0.326530612244898,1,1324,"(951,)",15
0.03876,0.36585365853658536,2,757,"(1266,)",15
0.04134,0.29629629629629634,1,1030,"(1056,)",15
0.04134,0.23880597014925375,1,956,"(1324,)",15
0.04134,0.23880597014925375,1,956,"(697,)",15
0.04134,0.326530612244898,1,697,"(956,)",15
0.04134,0.22535211267605634,1,1056,"(1030,)",15
0.03876,0.6000000000000001,4,841,"(1267,)",15
0.03876,0.30000000000000004,4,1267,"(841,)",15
0.04134,0.326530612244898,1,1324,"(956,)",15
0.03876,0.2777777777777778,4,953,"(239,)",15
0.03876,0.5769230769230769,4,239,"(953,)",15
0.04134,0.33333333333333337,1,1348,"(956,)",15
0.04134,0.23880597014925375,1,956,"(1348,)",15
0.04134,0.8,17,1320,"(363,)",15
0.03876,0.625,14,972,"(971,)",15
0.03876,0.5555555555555556,3,998,"(703,)",15
0.03876,0.8333333333333334,20,363,"(364,)",15
0.03876,0.20270270270270271,1,982,"(1120,)",15
0.03876,0.24193548387096775,1,1120,"(982,)",15
0.04134,0.6400000000000001,13,841,"(834,)",15
0.03876,0.25,3,703,"(998,)",15
0.04134,0.326530612244898,2,1324,"(953,)",15
0.03876,0.25,2,703,"(366,)",15
0.03876,0.375,2,64,"(953,)",15
0.03876,0.9375,20,364,"(363,)",15
0.04134,0.8421052631578947,13,834,"(841,)",15
0.04134,0.32000000000000006,5,1267,"(842,)",15
0.04134,0.21621621621621623,1,982,"(951,)",15
0.04134,0.29629629629629634,2,953,"(1324,)",15
0.03876,0.22388059701492538,1,956,"(982,)",15
0.03876,0.20270270270270271,1,982,"(956,)",15
0.04134,0.7272727272727273,5,842,"(1267,)",15
0.04134,0.24242424242424243,1,951,"(982,)",15
0.03618,0.3414634146341463,2,757,"(1247,)",14
0.03618,0.2692307692307692,2,1247,"(757,)",14
0.03618,0.29166666666666663,1,1348,"(1056,)",14
0.03618,0.22580645161290322,2,1120,"(757,)",14
0.03618,0.2978723404255319,2,705,"(366,)",14
0.03618,0.208955223880597,2,956,"(633,)",14
0.03618,0.35,3,64,"(757,)",14
0.03618,0.3414634146341463,2,757,"(1120,)",14
0.03618,0.3684210526315789,2,633,"(956,)",14
0.03618,0.5,3,1034,"(697,)",14
0.03618,0.358974358974359,2,366,"(705,)",14
0.03618,0.208955223880597,3,956,"(239,)",14
0.03618,0.2857142857142857,3,697,"(1034,)",14
0.03618,0.6363636363636362,4,842,"(1247,)",14
0.03618,0.2121212121212121,1,951,"(1062,)",14
0.03618,0.22580645161290322,1,1120,"(703,)",14
0.03618,0.2333333333333333,1,703,"(1120,)",14
0.03618,0.208955223880597,1,956,"(1266,)",14
0.03618,0.2978723404255319,6,705,"(707,)",14
0.03618,0.7368421052631579,6,707,"(705,)",14
0.03618,0.25925925925925924,3,953,"(954,)",14
0.03618,0.19718309859154928,1,1056,"(712,)",14
0.03618,0.25925925925925924,1,1266,"(956,)",14
0.03618,0.3783783783783784,8,65,"(63,)",14
0.03618,0.25925925925925924,1,953,"(712,)",14
0.03618,0.2692307692307692,4,1247,"(842,)",14
0.03618,0.56,5,635,"(633,)",14
0.03618,0.25,1,712,"(953,)",14
0.03618,0.28,5,1267,"(834,)",14
0.03618,0.28,4,1267,"(1238,)",14
0.03618,0.5384615384615384,3,239,"(956,)",14
0.03618,0.8235294117647058,8,63,"(65,)",14
0.03618,0.5384615384615384,4,1238,"(1267,)",14
0.03618,0.19718309859154928,1,1056,"(1348,)",14
0.03618,0.2857142857142857,1,1062,"(951,)",14
0.03618,0.3414634146341463,3,757,"(64,)",14
0.03618,0.5833333333333333,15,1085,"(1527,)",14
0.03618,0.25,1,712,"(1056,)",14
0.03618,0.4242424242424242,3,700,"(697,)",14
0.03618,0.2121212121212121,2,951,"(65,)",14
0.03618,0.7368421052631579,5,834,"(1267,)",14
0.03618,0.2333333333333333,3,703,"(1034,)",14
0.03618,0.3783783783783784,2,65,"(953,)",14
0.03618,0.3414634146341463,2,757,"(1267,)",14
0.03618,0.29166666666666663,3,1348,"(1245,)",14
0.03618,0.28,2,1267,"(757,)",14
0.03618,0.22580645161290322,1,1120,"(1056,)",14
0.03618,0.25925925925925924,2,1030,"(1348,)",14
0.03618,0.19718309859154928,1,1056,"(1120,)",14
0.03618,0.25,2,712,"(1118,)",14
